2026-01-04 00:51:24.207 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-01-04 00:51:24.845 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@11ee02f8
2026-01-04 00:51:24.848 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-01-04 00:51:25.031 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 00:51:30.481 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.482 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_ldcdaxj9paf46x1ke4c0k41ny" of relation "diskon" does not exist, skipping
2026-01-04 00:51:30.493 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.494 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_qw48d051a9g4r4wkdall4rypp" of relation "kategori" does not exist, skipping
2026-01-04 00:51:30.499 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.499 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "idx_laporan_tanggal" of relation "laporan_harian" does not exist, skipping
2026-01-04 00:51:30.513 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.514 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_30utj3tvlk9elglto03h6txka" of relation "pelanggan" does not exist, skipping
2026-01-04 00:51:30.566 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.566 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_dortdo5iokbkjwkm9eumu5nru" of relation "pembelian_supplier" does not exist, skipping
2026-01-04 00:51:30.588 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-01-04 00:51:30.588 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_bq5mmbqy5ldguhr4wp3g7grn" of relation "produk" does not exist, skipping
